title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
9.81파크,7,4.0,2022-09-09,23.5,26,21,20,4,175.50798
9.81파크,7,4.0,2022-09-10,24.0,26,22,30,4,175.16963
용두암,11,268.0,2022-09-09,24.25,26,22,20,4,175.10735
금오름,10,45.0,2022-09-07,22.0,22,22,0,4,174.32587
월정리해변,6,283.0,2022-09-15,26.0,28,24,40,4,174.25064
정방폭포,5,305.0,2022-09-12,25.5,27,24,40,4,174.08105
용두암,11,268.0,2022-09-12,25.5,27,24,40,4,173.65607
용두암,11,268.0,2022-09-16,26.0,28,24,40,4,173.5777
용머리해안,3,270.0,2022-09-09,24.291666666666668,28,21,20,4,173.14632
표선해수욕장,4,430.0,2022-09-17,25.5,28,23,40,4,172.8398
용머리해안,3,270.0,2022-09-07,22.8,23,22,0,4,172.46416
주상절리대,5,382.0,2022-09-13,25.5,27,24,80,4,172.41263
스누피가든,6,212.0,2022-09-15,26.0,28,24,40,4,172.18391
중문색달해변,5,384.0,2022-09-13,25.5,27,24,80,4,172.06578
용두암,11,268.0,2022-09-14,26.0,28,24,40,4,171.45325
정방폭포,5,305.0,2022-09-09,25.041666666666668,28,23,20,4,171.27779
정방폭포,5,305.0,2022-09-17,26.0,29,23,40,4,170.73709
용두암,11,268.0,2022-09-08,24.5,27,22,20,4,169.45746
월정리해변,6,283.0,2022-09-14,26.0,28,24,40,4,169.2534
금오름,10,45.0,2022-09-16,25.0,27,23,40,4,168.90468
하귀애월해안도로,7,434.0,2022-09-17,26.0,29,23,40,4,167.5463
새별오름,7,149.0,2022-09-17,26.0,29,23,40,4,167.27441
용두암,11,268.0,2022-09-15,26.0,28,24,40,4,167.02039
정방폭포,5,305.0,2022-09-14,26.0,28,24,40,4,166.47421
정방폭포,5,305.0,2022-09-13,25.5,27,24,80,4,165.86128
9.81파크,7,4.0,2022-09-08,23.541666666666668,26,21,20,4,164.03224
하귀애월해안도로,7,434.0,2022-09-10,24.0,26,22,30,4,163.65659
김녕해수욕장,6,50.0,2022-09-10,24.125,25,23,30,4,163.63268
새별오름,7,149.0,2022-09-10,24.0,26,22,30,4,163.50127
스누피가든,6,212.0,2022-09-13,25.0,27,23,80,4,163.31314
하귀애월해안도로,7,434.0,2022-09-07,22.4,23,22,0,4,162.97128
표선해수욕장,4,430.0,2022-09-14,26.0,28,24,40,4,162.64996
하귀애월해안도로,7,434.0,2022-09-11,25.0,27,23,40,4,162.08505
신창풍차해안도로,9,217.0,2022-09-13,25.5,28,23,80,4,161.5249
표선해수욕장,4,430.0,2022-09-15,26.0,28,24,40,4,161.51234
금오름,10,45.0,2022-09-13,25.5,28,23,80,4,161.40968
정방폭포,5,305.0,2022-09-15,26.0,28,24,40,4,161.39395
새별오름,7,149.0,2022-09-12,25.5,27,24,40,4,161.07957
하귀애월해안도로,7,434.0,2022-09-09,23.5,26,21,20,4,160.90155
용머리해안,3,270.0,2022-09-17,26.0,29,23,40,4,159.88103
용머리해안,3,270.0,2022-09-14,26.0,28,24,40,4,159.7504
새별오름,7,149.0,2022-09-15,26.0,28,24,40,4,159.64375
새별오름,7,149.0,2022-09-07,22.4,23,22,0,4,158.9735
용머리해안,3,270.0,2022-09-12,25.5,27,24,40,4,158.72624
정방폭포,5,305.0,2022-09-16,26.0,28,24,40,4,158.53813
용머리해안,3,270.0,2022-09-10,24.83333333333333,28,22,30,4,158.15356
표선해수욕장,4,430.0,2022-09-11,25.0,27,23,40,4,156.76819
하귀애월해안도로,7,434.0,2022-09-08,23.541666666666668,26,21,20,4,155.20058
용머리해안,3,270.0,2022-09-11,25.0,27,23,40,4,154.47343
용머리해안,3,270.0,2022-09-15,26.0,28,24,40,4,154.3262
새별오름,7,149.0,2022-09-16,26.0,28,24,40,4,153.6121
하귀애월해안도로,7,434.0,2022-09-12,25.5,27,24,40,4,153.03706
하귀애월해안도로,7,434.0,2022-09-16,26.0,28,24,40,4,152.9587
하귀애월해안도로,7,434.0,2022-09-14,26.0,28,24,40,4,152.73886
김녕해수욕장,6,50.0,2022-09-09,23.416666666666668,25,21,30,4,151.22714
용머리해안,3,270.0,2022-09-16,26.0,28,24,40,4,150.41258
판포포구,9,422.0,2022-09-14,26.5,29,24,40,4,148.95125
용두암,11,268.0,2022-09-07,23.4,24,23,0,4,148.74913
월정리해변,6,283.0,2022-09-13,25.0,27,23,80,4,148.58597
빛의벙커,2,126.0,2022-09-11,25.0,27,23,40,4,147.49605
에코랜드테마파크,8,250.0,2022-09-09,22.875,25,21,30,4,147.11057
중문색달해변,5,384.0,2022-09-07,25.0,26,24,0,4,146.43639
에코랜드테마파크,8,250.0,2022-09-08,23.125,25,21,20,4,146.30052
월정리해변,6,283.0,2022-09-09,23.416666666666668,25,21,30,4,146.01479
9.81파크,7,4.0,2022-09-07,22.4,23,22,0,4,145.99037
하귀애월해안도로,7,434.0,2022-09-15,26.0,28,24,40,4,145.73618
제주항공우주박물관,3,367.0,2022-09-11,25.0,27,23,40,4,144.91464
빛의벙커,2,126.0,2022-09-17,25.5,28,23,40,4,144.6075
새별오름,7,149.0,2022-09-14,26.0,28,24,40,4,143.97589
빛의벙커,2,126.0,2022-09-10,25.0,26,24,30,4,143.05461
표선해수욕장,4,430.0,2022-09-16,25.0,27,23,40,4,140.48009
표선해수욕장,4,430.0,2022-09-08,23.95833333333333,27,22,20,4,140.21956
에코랜드테마파크,8,250.0,2022-09-11,25.0,27,23,40,4,139.45876
표선해수욕장,4,430.0,2022-09-10,24.666666666666668,26,24,30,4,139.43222
에코랜드테마파크,8,250.0,2022-09-17,26.0,29,23,40,4,138.34448
표선해수욕장,4,430.0,2022-09-12,25.0,27,23,40,4,138.34064
도두동무지개해안도로,11,73.0,2022-09-11,25.0,27,23,40,4,138.2926
만장굴,6,96.0,2022-09-17,25.5,28,23,40,4,138.13841
빛의벙커,2,126.0,2022-09-16,25.0,27,23,40,4,138.00249
빛의벙커,2,126.0,2022-09-12,25.0,27,23,40,4,137.61151
성산항,2,181.0,2022-09-11,25.0,27,23,40,4,137.60231
하귀애월해안도로,7,434.0,2022-09-13,25.5,27,24,80,4,136.3069
성산항,2,181.0,2022-09-16,25.0,27,23,40,4,136.25609
사계해수욕장,3,129.0,2022-09-09,24.291666666666668,28,21,20,4,135.76308
도두동무지개해안도로,11,73.0,2022-09-17,26.0,29,23,40,4,135.72598
표선해수욕장,4,430.0,2022-09-09,23.916666666666668,26,22,30,4,135.42635
빛의벙커,2,126.0,2022-09-09,24.33333333333333,25,23,30,4,135.2135
용두암,11,268.0,2022-09-13,25.5,27,24,80,4,134.9865
에코랜드테마파크,8,250.0,2022-09-12,25.5,27,24,40,4,134.83926
에코랜드테마파크,8,250.0,2022-09-16,26.0,28,24,40,4,134.7609
